critics_score,audience_score,title,release_dates,cast,year,alternate_ids
-1,99,Mad Max: Fury Road,{'theater': '2015-05-15'},"Tom Hardy,Charlize Theron,Nicholas Hoult,Zoe Kravitz,Adelaide Clemens,",2015,{u'imdb': u'3416532'}
-1,97,Friday The 13th,{'theater': '2015-03-13'},,2015,{u'imdb': u'1790809'}
-1,0,Fan,{'theater': '2015-08-14'},"Shah Rukh Khan,",2015,
-1,96,The Man From U.N.C.L.E.,{'theater': '2015-01-16'},"Henry Cavill,Armie Hammer,Elizabeth Debicki,Alicia Vikander,Hugh Grant,",2015,
-1,95,London Has Fallen,{'theater': '2015-10-02'},"Gerard Butler,Aaron Eckhart,Morgan Freeman,",2015,{u'imdb': u'1790809'}
-1,0,Frank or Francis,{},"Steve Carell,Jack Black,Nicolas Cage,Kevin Kline,Elizabeth Banks,",2015,
-1,99,The Hunger Games: Mockingjay - Part 2,{'theater': '2015-11-20'},"Jennifer Lawrence,Robert Knepper,Julianne Moore,Elden Henson,Wes Chatham,",2015,
-1,99,Get Hard,{'theater': '2015-03-27'},"Will Ferrell,Kevin Hart,Gary Owen,Jay Pharoah,James Moses Black,",2015,
-1,95,Goosebumps,{'theater': '2015-08-07'},"Jack Black,Dylan Minnette,Amy Ryan,Jillian Bell,Ryan Lee,",2015,{u'imdb': u'1790809'}
-1,100,Grimsby,{'theater': '2015-07-31'},"Sacha Baron Cohen,Mark Strong,Annabelle Wallis,",2015,{u'imdb': u'2267968'}
-1,99,Terminator: Genesis,{'theater': '2015-07-01'},"Emilia Clarke,Arnold Schwarzenegger,Jason Clarke,Jai Courtney,Dayo Okeniyi,",2015,
-1,98,Through the Looking Glass,{'theater': '2016-05-27'},"Mia Wasikowska,Johnny Depp,Helena Bonham Carter,Mark Rylance,",2015,
-1,100,Untitled Seth Rogen/joseph Gordon-levitt X-mas Movie,{'theater': '2015-12-11'},"Seth Rogen,Joseph Gordon-Levitt,",2015,
-1,73,Ghostbusters III,{},"Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,Ernie Hudson,",2015,
-1,97,Hotel Transylvania 2,{'theater': '2015-09-25'},"Selena Gomez,",2015,
-1,98,Heart of the Sea,{'theater': '2015-03-13'},"Chris Hemsworth,Cillian Murphy,Ben Whishaw,Brendan Gleeson,Jordi Molla,",2015,
-1,93,If I Stay,{'theater': '2014-08-22'},"Chloe Grace Moretz,Mireille Enos,Liana Liberato,Lauren Lee Smith,Jamie Blackley,",2015,
-1,100,Insurgent,{'theater': '2015-03-20'},"Shailene Woodley,Theo James,",2015,
-1,91,The Inside Out,{'theater': '2015-06-19'},"Lucas Neff,Neil Patrick Harris,John Lithgow,Frances McDormand,Judy Greer,",2015,
-1,100,Inherent Vice,{'theater': '2015-01-09'},"Joaquin Phoenix,Benicio Del Toro,Sasha Pieterse,Jena Malone,Josh Brolin,",2015,{u'imdb': u'1790809'}
-1,98,Inferno,{'theater': '2015-12-18'},"Tom Hanks,",2015,
-1,99,Mission: Impossible 5,{'theater': '2015-12-25'},"Tom Cruise,",2015,
-1,98,The Intern,{'theater': '2015-09-25'},"Robert De Niro,Anne Hathaway,",2015,{u'imdb': u'2398241'}
-1,99,Jurassic World,{'theater': '2015-06-12'},"Bryce Dallas Howard,Ty Simpkins,Chris Pratt,Omar Sy,Judy Greer,",2015,{u'imdb': u'2250912'}
-1,100,Monkey Kingdom,{'theater': '2015-04-17'},,2015,
-1,81,The Longest Ride,{'theater': '2015-04-03'},,2015,{u'imdb': u'1292566'}
-1,97,Lazarus,{'theater': '2015-01-30'},"Evan Peters,Olivia Wilde,Donald Glover,Sarah Bolger,Mark Duplass,",2015,{u'imdb': u'2398241'}
-1,97,The Lesdiguieres Legend,{'theater': '2015-12-23'},"Leonardo DiCaprio,Marion Cotillard,Kamel Sina,Kev Adams,Fabrice Ndagijimana (II),",2015,{u'imdb': u'2250912'}
-1,68,Logan's Run,{},"Ryan Gosling,",2015,{u'imdb': u'2446042'}
-1,96,The Penguins Of Madagascar,{'theater': '2015-03-27'},,2015,
-1,99,Magic Mike XXL,{'theater': '2015-07-03'},"Channing Tatum,Matthew McConaughey,Alex Pettyfer,Joe Manganiello,Matt Bomer,",2015,
-1,98,Mortdecai,{'theater': '2015-02-06'},"Johnny Depp,Gwyneth Paltrow,Ewan McGregor,Paul Bettany,Olivia Munn,",2015,
-1,98,Mean Moms,{'theater': '2015-05-08'},"Jennifer Aniston,",2015,
-1,100,Mumbai Musical,{'theater': '2015-12-18'},,2015,{u'imdb': u'2386490'}
-1,99,Midnight Special,{'theater': '2015-11-25'},"Kirsten Dunst,Joel Edgerton,Michael Shannon,Adam Driver,Paul Sparks,",2015,
-1,83,Monster Trucks,{'theater': '2015-05-29'},,2015,{u'imdb': u'3183660'}
-1,100,The Metropolitan Opera: The Merry Widow,{'theater': '2015-01-17'},,2015,
-1,0,The Pom Pom Massacre,{'theater': '2015-09-13'},"Nicole Travolta,Maysen Michaels,",2015,
-1,89,Norm of the North,{'theater': '2015-01-16'},"Rob Schneider,Ken Jeong,Zachary Gordon,Loretta Devine,Rachel Grate,",2015,{u'imdb': u'1292566'}
-1,0,The Nest,{'theater': '2015-12-18'},"Chloe Spencer-Campbell,Tracy Bargate,Jacob Krichefski,",2015,{u'imdb': u'1790809'}
-1,100,Now You See Me 2,{},,2015,
-1,96,Peanuts,{'theater': '2015-11-06'},,2015,
-1,99,Pitch Perfect 2,{'theater': '2015-05-15'},"Anna Kendrick,Rebel Wilson,Brittany Snow,Hailee Steinfeld,Katey Sagal,",2015,
-1,99,Pan,{'theater': '2015-07-17'},"Hugh Jackman,Levi Miller,Rooney Mara,Amanda Seyfried,",2015,
-1,99,Passengers,{'theater': '2015-04-03'},"Keanu Reeves,Reese Witherspoon,Rachel McAdams,",2015,
-1,91,Poltergeist,{'theater': '2015-02-13'},"Sam Rockwell,Jared Harris,Rosemarie DeWitt,Nicholas Braun,Jane Adams (II),",2015,
-1,100,Popeye,{},,2015,
-1,83,Pride and Prejudice and Zombies,{},"Lily Collins,Emma Stone,Natalie Portman,",2015,
-1,75,Poltergeist,{},"Sam Rockwell,Rosemarie DeWitt,Jared Harris,Jane Adams (II),Kyle Catlett,",2015,
-1,0,Queen of the Tearling,{},"Emma Watson,",2015,{u'imdb': u'0118040'}
